feature,Importance
PCA_27,0.0008955959071267561
C1,0.00036943331168979297
V45,0.0002171820074782227
V258,0.00020374806887135666
V201,0.00017911918142534677
V44,0.00013433938606903783
V189,0.0001231444372299384
C12,0.00012090544746212739
V187,0.00011866645769431639
C10,0.00010523251908742815
C14_group_5,9.851554978395072e-05
V188,9.627656001613971e-05
C13,9.627656001613971e-05
V200,8.955959071266228e-05
V257,8.732060094485128e-05
V245,7.836464187360725e-05
V243,7.836464187360725e-05
V242,7.836464187360725e-05
V87,7.836464187360725e-05
C8,7.612565210579625e-05
C11,7.612565210579625e-05
C14,7.388666233798524e-05
V186,7.388666233798524e-05
C7,7.164767257017424e-05
C13_group_5,7.164767257017424e-05
V149,6.940868280236323e-05
C13_group_2,6.716969303455222e-05
V156,6.716969303455222e-05
PCA_16,6.493070326674122e-05
V244,6.269171349890801e-05
C13_group_1,6.0452723731074795e-05
V199,5.8213733963285995e-05
C12_group_5,5.8213733963285995e-05
V190,5.5974744195497195e-05
V155,5.5974744195497195e-05
V233,5.5974744195497195e-05
V195,5.5974744195497195e-05
V198,5.5974744195497195e-05
V194,5.5974744195497195e-05
PCA_17,5.597474419547499e-05
C4,5.597474419547499e-05
PCA_23,5.373575442766398e-05
V310,5.149676465983077e-05
C8_group_5,5.149676465983077e-05
C12_group_2,4.9257774892019765e-05
V273,4.9257774891997566e-05
C7_group_5,4.9257774891997566e-05
V197,4.7018785124164354e-05
V86,4.7018785124164354e-05
C14_group_2,4.4779795356375554e-05
C1_group_5,4.4779795356375554e-05
V148,4.477979535633114e-05
V294,4.254080558856455e-05
D3,4.254080558854234e-05
V246,4.2540805588520136e-05
V259,4.2540805588520136e-05
V285,4.030181582075354e-05
C8_group_2,4.0301815820731336e-05
C1_group_4,3.806282605292033e-05
C14_group_3,3.806282605292033e-05
V275,3.8062826052898124e-05
PCA_2,3.8062826052898124e-05
C10_group_4,3.8062826052898124e-05
PCA_18,3.5823836285109324e-05
C7_group_2,3.358484651727611e-05
id_17,3.358484651727611e-05
id_30_fe1,3.358484651727611e-05
V154,3.358484651727611e-05
V252,3.358484651727611e-05
V247,3.358484651727611e-05
D3_group_3,3.1345856749465106e-05
D3_group_2,3.1345856749465106e-05
C10_group_5,3.1345856749465106e-05
C1_group_1,3.1345856749465106e-05
PCA_22,3.1345856749465106e-05
C14_group_6,3.1345856749465106e-05
C8_group_3,2.91068669816541e-05
V40,2.91068669816541e-05
D2_group_5,2.91068669816541e-05
C8_group_6,2.91068669816541e-05
V287,2.91068669816541e-05
C1_group_6,2.6867877213843094e-05
V52,2.6867877213843094e-05
V133,2.6867877213843094e-05
PCA_5,2.6867877213843094e-05
V204,2.6867877213843094e-05
PCA_19,2.6867877213843094e-05
C8_group_4,2.6867877213843094e-05
C12_group_1,2.6867877213843094e-05
D2_group_2,2.686787721382089e-05
V295,2.462888744603209e-05
V231,2.462888744603209e-05
C14_group_4,2.462888744603209e-05
V293,2.462888744603209e-05
PCA_6,2.462888744603209e-05
V264,2.462888744603209e-05
V256,2.462888744603209e-05
C11_group_5,2.462888744603209e-05
C10_group_1,2.4628887446009883e-05
V307,2.4628887446009883e-05
V150,2.2389897678221082e-05
V81,2.2389897678221082e-05
PCA_12,2.2389897678221082e-05
V16,2.2389897678221082e-05
proc_id_31_0_fe1,2.2389897678221082e-05
V23,2.2389897678221082e-05
V230,2.2389897678221082e-05
DeviceType,2.2389897678221082e-05
V217,2.2389897678221082e-05
id_20,2.2389897678221082e-05
C2,2.2389897678221082e-05
V254,2.2389897678221082e-05
V253,2.2389897678221082e-05
V306,2.2389897678221082e-05
