feature,Importance
PCA_27,347608.47050408914
C1_div_C14,196831.78564080183
C11_div_C13,64321.02402796302
C13_div_C8,57695.29778239626
C1_div_C4,54579.535023105214
C1,52584.986575437586
C14_div_C4,48232.366198762524
C13_div_C2,44791.06356123354
V317,41420.277898202374
PCA_23,40280.17985009338
C13_div_C4,35766.70097432425
C1_div_C10,35568.80001312555
C1_div_C6,33416.7577575716
C1_div_C13,32034.122561967284
C11_div_C14,30908.909214251733
TransactionAmt_std_mean2_full,28249.379143808354
PCA_26,27842.353096206414
C13_div_C7,26592.865841669714
TransactionAmt,25772.69364971176
addr1,25229.069624983345
V294,23401.77289175801
TransactionAmt_std_mean_full,22446.36261479328
V308,20508.040212169963
D2,20463.560334702233
card2,18367.628024755795
C14_div_C6,16597.433833250965
C13_div_C6,16458.808124319592
card6,15830.89541643889
day_mode,15678.149522248916
C13_div_C9,15667.07273741863
day_mode2,15313.805901508546
TransactionAmt_std_mean_month,15275.090665459436
C10_div_C13,14853.226377879095
P_emaildomain,14351.90489607445
V258,12720.765586175163
TransactionAmt_std_mean2_month,12665.454483425394
V283,12540.839183709586
V149,12088.948891848719
dist1,11599.899822617348
day,10911.426762036652
V318,10801.797883982828
hour_mode,10646.143128152455
C2_div_C6,10300.855255059107
P_emaildomain_fe1,10121.371641451493
C6_div_C9,9989.371303793276
id_02,9966.423653432561
PCA_25,9942.840262973215
C11_div_C6,9785.013074713854
C11_div_C9,9783.19899147749
PCA_7,9674.56650684416
C2_div_C5,9515.1975626679
C14_group_1_month,9328.1329602783
PCA_24,9309.65960763454
C1_div_C11,9274.057694471052
C11,9046.949375719927
C1_div_C2,9040.796715958959
C6_group_1_full,8912.384025952431
V70,8895.416083679074
PCA_8,8803.839227258693
C2_group_1_full,8732.129865557756
C9_group_1_full,8683.534954948527
TransactionAmt_std_mean2_dayofweek,8529.918286939395
V62,8503.301822304726
R_emaildomain,8494.300936995143
TransactionAmt_std_mean_day,8488.006790198491
max_day_diff2,8439.173665735281
C1_group_1_full,8426.763248843377
M4,8402.307105046522
V243,8398.119498936956
TransactionAmt_std_mean_dayofweek,8333.304020111262
id_01,8224.699638040154
P_emaildomain_0,8160.313587908448
hour_mode2,8150.1515799275285
C2_group_1_2_full,8100.973883401428
C1_div_C9,8082.587430311483
PCA_9,8059.778630206032
TransactionAmt_to_mean_full,7977.8667342077315
hour,7934.389787997254
