feature,Importance
R1,0.0008580132307082433
V258,0.00027128359500334654
C7,0.000268579771797306
V45,0.0002613695765812718
C1,0.0002568632045712338
C12,0.00025145555815919707
C8,0.00021540458207904844
C4,0.00020639183805901685
V257,0.0001991816428430049
V201,0.00019287272202894723
C11,0.00015411792274278024
V44,0.00014240135551670807
C10,0.00012888223948666068
V189,0.00011986949546658466
V244,0.0001171656722605885
V187,0.00011175802584852956
V200,0.00010635037943651504
V246,9.643636101446252e-05
V87,9.5535086612486e-05
V274,9.283126340644542e-05
C14,8.291724498441511e-05
V188,7.570704976835873e-05
C6,7.390450096436129e-05
id_17,7.210195216034165e-05
V156,7.120067775834293e-05
V275,7.120067775834293e-05
V149,6.759558015034806e-05
R49,6.759558015032586e-05
V186,6.128665933631261e-05
V233,6.038538493431389e-05
V243,6.038538493429169e-05
V264,6.038538493429169e-05
V86,5.948411053229297e-05
V273,5.858283613029425e-05
V232,5.768156172829553e-05
V231,5.678028732629681e-05
R52,5.4977738522277166e-05
V199,5.407646412025624e-05
V170,5.407646412025624e-05
R59,5.317518971825752e-05
V245,5.317518971825752e-05
id_17_fe2,5.137264091428229e-05
V198,5.137264091426008e-05
R57,5.1372640914237876e-05
V242,4.957009211026264e-05
N3,4.7767543306243e-05
addr1,4.776754330622079e-05
R38,4.596499450224556e-05
V197,4.5063720100269045e-05
R66,4.506372010022463e-05
V229,4.2359896894206275e-05
V211,4.145862249218535e-05
V194,4.0557348090164425e-05
V195,4.0557348090164425e-05
V316,3.875479928618919e-05
addr2_fe2,3.785352488419047e-05
V217,3.7853524884168266e-05
addr1_fe2,3.695225048219175e-05
id_35_fe2,3.6952250482169546e-05
V52,3.6952250482169546e-05
V219,3.605097608017083e-05
V263,3.514970167817211e-05
V34,3.424842727617339e-05
N10,3.334715287417467e-05
V155,3.154460407017723e-05
V190,3.154460407017723e-05
C2,3.154460407015502e-05
R53,3.064332966817851e-05
V259,3.064332966817851e-05
V306,3.0643329668156304e-05
V171,3.0643329668156304e-05
C13,3.0643329668156304e-05
V39,2.974205526617979e-05
R61,2.9742055266157584e-05
V317,2.7939506462160145e-05
D3,2.7939506462137943e-05
V154,2.703823206018363e-05
V192,2.703823206018363e-05
V148,2.703823206018363e-05
V153,2.6136957658162706e-05
V83,2.6136957658162706e-05
id_19,2.6136957658140503e-05
V32,2.6136957658140503e-05
R73,2.5235683256163986e-05
card3_fe2,2.5235683256141784e-05
V291,2.5235683256141784e-05
id_17_fe1,2.5235683256141784e-05
id_20_fe1,2.5235683256141784e-05
TransactionAmt,2.433440885412086e-05
V168,2.3433134452144345e-05
V218,2.343313445212214e-05
V285,2.343313445212214e-05
V213,2.343313445212214e-05
V277,2.3433134452099937e-05
V212,2.253186005012342e-05
addr1_fe1,2.2531860050101217e-05
V178,2.2531860050101217e-05
V55,2.253186005007901e-05
V158,2.253186005007901e-05
V310,2.16305856481247e-05
id_35_fe1,2.1630585648102497e-05
V290,2.1630585648102497e-05
V230,2.1630585648102497e-05
V228,2.1630585648102497e-05
R8,2.072931124612598e-05
D8,2.0729311246103778e-05
R11,2.0729311246103778e-05
V261,2.0729311246081572e-05
id_06,2.0729311246081572e-05
id_37_fe2,1.982803684410506e-05
V177,1.982803684410506e-05
V265,1.982803684410506e-05
card3,1.982803684410506e-05
R20,1.982803684410506e-05
V203,1.982803684410506e-05
id_31_fe1,1.9828036844082852e-05
R_emaildomain_1,1.9828036844082852e-05
V71,1.892676244210634e-05
V295,1.892676244210634e-05
V167,1.8926762442084133e-05
R55,1.8926762442084133e-05
V256,1.8025488040085413e-05
addr2_fe1,1.8025488040085413e-05
R43,1.8025488040085413e-05
V184,1.7124213638086694e-05
R3,1.7124213638086694e-05
V251,1.7124213638086694e-05
V80,1.7124213638086694e-05
R72,1.622293923611018e-05
card2_fe2,1.6222939236087974e-05
V308,1.6222939236087974e-05
V280,1.6222939236087974e-05
P_emaildomain_0_fe1,1.6222939236087974e-05
R63,1.6222939236087974e-05
V81,1.5321664834089255e-05
N4,1.5321664834089255e-05
card_14,1.5321664834089255e-05
V204,1.4420390432090535e-05
id_37,1.4420390432090535e-05
V215,1.4420390432090535e-05
id_31,1.4420390432090535e-05
id_38_fe2,1.4420390432090535e-05
V15,1.4420390432090535e-05
V249,1.3519116030091816e-05
V253,1.3519116030091816e-05
V46,1.3519116030091816e-05
V239,1.3519116030091816e-05
V147,1.3519116030091816e-05
V314,1.3519116030091816e-05
N7,1.3519116030091816e-05
V278,1.3519116030091816e-05
M4_fe2,1.3519116030069611e-05
P_emaildomain_0,1.2617841628093096e-05
V40,1.2617841628093096e-05
V262,1.2617841628093096e-05
V125,1.2617841628093096e-05
R56,1.2617841628093096e-05
V96,1.2617841628070892e-05
id_19_fe2,1.2617841628070892e-05
R71,1.2617841628070892e-05
N17,1.1716567226094377e-05
V22,1.1716567226094377e-05
ProductCD_fe1,1.1716567226094377e-05
V23,1.1716567226094377e-05
id_12_fe2,1.1716567226094377e-05
proc_id_31_0_2,1.1716567226094377e-05
V182,1.1716567226094377e-05
D2,1.1716567226072172e-05
V202,1.1716567226072172e-05
addr2,1.1716567226072172e-05
V53,1.1716567226049968e-05
id_28_fe2,1.0815292824095657e-05
card1,1.0815292824095657e-05
id_35,1.0815292824095657e-05
id_19_fe1,1.0815292824095657e-05
C9,1.0815292824073453e-05
card6_fe1,1.0815292824073453e-05
ProductCD,1.0815292824073453e-05
card6_fe2,1.0815292824073453e-05
id_29,1.0815292824073453e-05
R5,1.0815292824051249e-05
R4,1.0815292824051249e-05
proc_id_30_1_2,9.914018422096937e-06
DeviceInfo,9.914018422096937e-06
V16,9.914018422096937e-06
P_emaildomain_0_fe2,9.914018422074733e-06
R41,9.914018422074733e-06
N21,9.914018422074733e-06
R_emaildomain_fe1,9.914018422074733e-06
V307,9.91401842205253e-06
DeviceType_fe2,9.91401842205253e-06
M5,9.91401842205253e-06
id_20_fe2,9.012744020098218e-06
V152,9.012744020098218e-06
V150,9.012744020098218e-06
V196,9.012744020098218e-06
V238,9.012744020098218e-06
V255,9.012744020098218e-06
V216,9.012744020098218e-06
V191,9.012744020098218e-06
proc_id_31_0_fe1,9.012744020098218e-06
id_28_fe1,9.012744020098218e-06
V17,9.012744020076014e-06
R58,9.012744020076014e-06
R65,9.012744020076014e-06
id_36,9.012744020076014e-06
V132,9.012744020076014e-06
DeviceType_2,9.012744020076014e-06
email_8,9.01274402005381e-06
R67,8.111469618077294e-06
V62,8.111469618077294e-06
id_32_fe1,8.111469618077294e-06
P_emaildomain_fe1,8.111469618077294e-06
V93,8.111469618077294e-06
id_16_fe1,8.111469618077294e-06
V94,8.11146961805509e-06
V176,8.11146961805509e-06
R33,8.11146961805509e-06
card2_fe1,8.11146961805509e-06
id_38_fe1,8.11146961805509e-06
D1,8.11146961805509e-06
R45,8.111469618032884e-06
V237,7.210195216078575e-06
R_emaildomain_1_fe1,7.21019521605637e-06
V128,7.21019521605637e-06
R13,7.21019521605637e-06
V79,7.21019521605637e-06
V293,7.21019521605637e-06
N9,7.21019521605637e-06
device_name,7.21019521605637e-06
N2,7.21019521605637e-06
V292,7.21019521605637e-06
V50,7.21019521605637e-06
D10,7.2101952160341655e-06
V133,7.2101952160341655e-06
P_emaildomain_fe2,7.2101952160341655e-06
R12,7.2101952160341655e-06
R_emaildomain_0_fe1,7.2101952160341655e-06
