feature,Importance
R1,0.0010702069292511495
V258,0.00019981711653731525
V201,0.00013885596233953468
V257,0.00011176211602939023
R71,0.00010837538524059998
V200,8.974836590232016e-05
R43,8.805500050794724e-05
V199,8.466826971917918e-05
V189,8.297490432478405e-05
R68,8.128153893041112e-05
V45,7.620144274727015e-05
V178,7.620144274722573e-05
N3,7.112134656410696e-05
V212,6.604125038096597e-05
V246,6.604125038094378e-05
R46,6.604125038094378e-05
R51,6.096115419780279e-05
V243,5.926778880342987e-05
R37,5.926778880340766e-05
R14,5.926778880338546e-05
V187,5.4187692620266684e-05
V190,5.4187692620266684e-05
R48,5.418769262024448e-05
R49,5.249432722587155e-05
R65,5.0800961831498624e-05
card3,4.91075964371035e-05
id_17_fe1,4.741423104273057e-05
id_17,4.5720865648357645e-05
addr1_fe1,4.402750025394031e-05
V203,4.064076946519446e-05
R63,4.0640769465172254e-05
V17,3.894740407082153e-05
R52,3.894740407082153e-05
R50,3.894740407082153e-05
V171,3.894740407079933e-05
V188,3.894740407079933e-05
N2,3.894740407079933e-05
R72,3.894740407079933e-05
V274,3.894740407077713e-05
R58,3.894740407077713e-05
addr2_fe2,3.725403867642641e-05
V259,3.556067328205348e-05
V34,3.5560673282031274e-05
R64,3.556067328200907e-05
V230,3.386730788768055e-05
V245,3.386730788768055e-05
R61,3.386730788768055e-05
R57,3.386730788765835e-05
R62,3.386730788765835e-05
R60,3.217394249328542e-05
R40,3.217394249326322e-05
N5,3.217394249326322e-05
V213,3.217394249326322e-05
V179,3.0480577098890295e-05
V44,3.048057709886809e-05
id_35,2.8787211704495162e-05
V275,2.8787211704495162e-05
R4,2.8787211704495162e-05
R36,2.5400480915749312e-05
V86,2.540048091572711e-05
N17,2.540048091572711e-05
V211,2.5400480915704904e-05
V177,2.5400480915704904e-05
V228,2.5400480915704904e-05
id_35_fe2,2.3707115521354183e-05
V224,2.3707115521354183e-05
DeviceType_fe2,2.3707115521331977e-05
proc_id_30_1_fe2,2.3707115521331977e-05
id_31_fe2,2.3707115521331977e-05
V152,2.3707115521331977e-05
N9,2.2013750126981256e-05
card3_fe1,2.2013750126981256e-05
addr2_fe1,2.2013750126959054e-05
V186,2.2013750126959054e-05
N7,2.2013750126959054e-05
id_17_fe2,2.2013750126936848e-05
V308,2.0320384732586127e-05
V87,2.0320384732563924e-05
V167,1.8627019338213203e-05
R_emaildomain_fe2,1.8627019338213203e-05
id_31,1.8627019338213203e-05
R35,1.8627019338213203e-05
V71,1.8627019338213203e-05
V214,1.8627019338213203e-05
addr1_fe2,1.8627019338190998e-05
R70,1.8627019338190998e-05
card2_fe2,1.8627019338168792e-05
id_32_fe2,1.6933653943840277e-05
V204,1.6933653943840277e-05
V261,1.6933653943840277e-05
V176,1.6933653943840277e-05
V148,1.6933653943840277e-05
V149,1.6933653943840277e-05
R5,1.6933653943840277e-05
id_34,1.6933653943840277e-05
V270,1.6933653943840277e-05
V80,1.6933653943840277e-05
V234,1.6933653943840277e-05
V29,1.693365394381807e-05
R34,1.693365394381807e-05
V94,1.693365394381807e-05
DeviceType,1.693365394381807e-05
R38,1.693365394379587e-05
