feature,Importance
R1,0.0015883767399329062
C1,0.0005130897144985713
C13,0.00041656788701862626
C14,0.0002861787516510006
R12,0.00021505740508684923
C10,0.00016594980864965693
N3,0.00015070952010021177
card2_fe2,0.0001405493277339076
TransactionAmt,0.00013885596233953468
C2,0.00013208250076197637
N5,0.00013208250076197637
V90,0.00013038913536760343
card6_fe1,0.00011853557760690414
card2,0.00011514884681813608
addr1,0.00011345548142376316
V283,0.00010668201984622704
addr1_fe1,0.00010668201984622704
R3,0.00010498865445183193
R4,0.00010329528905743679
V45,0.00010160192366306386
card1_fe2,0.00010160192366306386
R11,0.00010160192366306386
id_31,9.990855826869094e-05
card1,9.821519287431802e-05
C11,9.82151928742958e-05
id_31_fe1,9.482846208554995e-05
card1_fe1,9.482846208554995e-05
C5,9.482846208552775e-05
V282,9.313509669115483e-05
addr2,9.14417312967597e-05
N1,8.805500050799165e-05
V308,8.805500050796944e-05
card2_fe1,8.636163511359652e-05
V310,8.297490432485066e-05
D1,8.297490432485066e-05
V91,8.297490432482846e-05
R_emaildomain_0_fe2,8.128153893047774e-05
R20,7.95881735360604e-05
addr2_fe1,7.95881735360604e-05
card3,7.789480814168748e-05
N2,7.789480814166528e-05
id_17_fe1,7.620144274731456e-05
V233,7.450807735294162e-05
N4,7.450807735291942e-05
id_31_fe2,7.281471195854649e-05
V201,6.942798116980065e-05
R2,6.942798116975624e-05
V258,6.773461577540552e-05
M4_fe2,6.77346157753833e-05
N6,6.77346157753611e-05
D2,6.77346157753611e-05
V280,6.604125038098819e-05
V294,6.604125038098819e-05
V44,6.604125038098819e-05
V54,6.434788498661525e-05
C6,6.265451959222012e-05
card3_fe2,5.757442340907915e-05
V295,5.757442340905694e-05
V317,5.5881058014684015e-05
V67,5.5881058014684015e-05
V274,5.5881058014684015e-05
card6,5.588105801466181e-05
R_emaildomain,5.418769262031109e-05
R9,5.418769262031109e-05
V246,5.418769262031109e-05
V102,5.418769262028888e-05
id_17,5.418769262028888e-05
V318,5.249432722593816e-05
ProductCD,5.249432722591596e-05
card6_fe2,5.249432722591596e-05
R21,5.249432722589376e-05
V316,5.249432722589376e-05
V285,5.0800961831543036e-05
R28,5.0800961831543036e-05
addr1_fe2,5.080096183152083e-05
V62,5.080096183152083e-05
P_emaildomain_fe1,5.080096183152083e-05
DeviceType_fe1,5.0800961831498624e-05
V313,5.0800961831498624e-05
V188,5.0800961831498624e-05
device_version,5.0800961831498624e-05
R27,4.91075964371257e-05
V200,4.91075964371257e-05
V279,4.741423104275278e-05
id_20_fe2,4.741423104273057e-05
C8,4.741423104273057e-05
id_20,4.572086564837985e-05
R13,4.572086564837985e-05
R7,4.402750025398472e-05
DeviceInfo,4.402750025396251e-05
V189,4.402750025396251e-05
R22,4.402750025396251e-05
V291,4.233413485958959e-05
M4,4.233413485958959e-05
V257,4.233413485958959e-05
Transaction_hour,4.2334134859567386e-05
V315,4.0640769465216665e-05
R29,4.064076946519446e-05
V275,4.064076946519446e-05
M5,4.064076946519446e-05
V29,3.894740407082153e-05
V307,3.894740407082153e-05
V231,3.894740407079933e-05
id_14,3.894740407079933e-05
V190,3.894740407077713e-05
id_30,3.725403867642641e-05
V273,3.725403867642641e-05
V76,3.72540386764042e-05
proc_id_30_0,3.556067328205348e-05
M4_fe1,3.556067328205348e-05
V186,3.386730788768055e-05
P_emaildomain,3.386730788765835e-05
id_03,3.386730788765835e-05
id_09,3.386730788765835e-05
C9,3.386730788763614e-05
R8,3.217394249328542e-05
V287,3.217394249328542e-05
R19,3.217394249326322e-05
V38,3.217394249326322e-05
R26,3.217394249326322e-05
R15,3.217394249326322e-05
V128,3.0480577098912497e-05
V56,3.0480577098890295e-05
P_emaildomain_1_fe1,3.0480577098890295e-05
id_15,3.048057709886809e-05
M5_fe1,3.048057709886809e-05
card5_fe2,2.8787211704517368e-05
V20,2.8787211704517368e-05
V289,2.8787211704517368e-05
card5,2.8787211704495162e-05
V131,2.8787211704495162e-05
C4,2.709384631014444e-05
card5_fe1,2.709384631012224e-05
V314,2.709384631012224e-05
V306,2.7093846310100033e-05
card4_fe1,2.5400480915749312e-05
V52,2.5400480915749312e-05
V312,2.5400480915749312e-05
V149,2.540048091572711e-05
V261,2.540048091572711e-05
id_16_fe1,2.540048091572711e-05
dist2,2.370711552137639e-05
R25,2.370711552137639e-05
R5,2.370711552137639e-05
V99,2.3707115521354183e-05
DeviceType,2.3707115521354183e-05
card4,2.3707115521354183e-05
id_38,2.3707115521331977e-05
V281,2.3707115521331977e-05
V133,2.3707115521331977e-05
V296,2.2013750126981256e-05
D9,2.2013750126981256e-05
V53,2.2013750126959054e-05
R18,2.2013750126936848e-05
P_emaildomain_0_fe1,2.0320384732608333e-05
P_emaildomain_0_fe2,2.0320384732586127e-05
id_20_fe1,2.0320384732586127e-05
id_13,1.8627019338213203e-05
D13,1.8627019338213203e-05
id_01,1.8627019338190998e-05
device_name_fe2,1.693365394381807e-05
V259,1.693365394381807e-05
V96,1.693365394381807e-05
V78,1.693365394381807e-05
device_version_fe1,1.693365394381807e-05
R_emaildomain_fe2,1.693365394381807e-05
dist1,1.693365394379587e-05
V320,1.693365394379587e-05
proc_id_31_0_fe1,1.5240288549422942e-05
V199,1.5240288549422942e-05
V35,1.5240288549422942e-05
V5,1.5240288549422942e-05
Transaction_day_of_week,1.354692315507222e-05
R16,1.354692315507222e-05
D14,1.3546923155050017e-05
V75,1.3546923155050017e-05
M3,1.3546923155050017e-05
id_33_fe1,1.3546923155027812e-05
M6_fe2,1.3546923155027812e-05
M9,1.1853557760677091e-05
V130,1.1853557760677091e-05
id_33,1.1853557760654887e-05
id_38_fe2,1.1853557760654887e-05
card4_fe2,1.1853557760654887e-05
V61,1.1853557760654887e-05
device_version_fe2,1.1853557760654887e-05
M5_fe2,1.1853557760654887e-05
R_emaildomain_fe1,1.1853557760654887e-05
device_name_fe1,1.0160192366281962e-05
V264,8.466826971909035e-06
V134,8.466826971909035e-06
V12,8.466826971909035e-06
M6_fe1,8.466826971886831e-06
id_02,8.466826971886831e-06
R17,8.466826971886831e-06
V19,6.77346157753611e-06
V86,6.773461577513906e-06
V136,6.773461577513906e-06
id_18,6.773461577491702e-06
id_16,6.773461577491702e-06
proc_id_31_0,6.773461577491702e-06
M6,5.080096183140981e-06
V87,5.080096183140981e-06
V36,5.080096183118776e-06
M3_fe1,5.080096183118776e-06
V311,3.386730788745851e-06
V13,3.386730788745851e-06
V309,3.386730788745851e-06
V126,3.3867307887236465e-06
M2,1.6933653943729255e-06
id_38_fe1,1.693365394350721e-06
M9_fe1,1.6933653943285164e-06
id_19,-4.4408920985006264e-17
P_emaildomain_0,-4.4408920985006264e-17
M8,-1.6933653944173344e-06
V321,-1.6933653944173344e-06
V97,-3.3867307887902597e-06
M3_fe2,-3.3867307888124643e-06
card3_fe1,-3.3867307888124643e-06
id_05,-5.080096183163185e-06
V129,-5.080096183185389e-06
P_emaildomain_1,-5.080096183185389e-06
V77,-6.773461577558315e-06
R14,-6.773461577580519e-06
id_13_fe1,-6.773461577580519e-06
P_emaildomain_fe2,-8.466826971931241e-06
M7,-8.466826971953445e-06
V203,-8.466826971953445e-06
id_19_fe2,-8.46682697197565e-06
V83,-1.016019236632637e-05
device_name,-1.0160192366348575e-05
R_emaildomain_0_fe1,-1.354692315511663e-05
id_18_fe1,-1.354692315511663e-05
R_emaildomain_0,-1.5240288549467352e-05
id_06,-1.6933653943840277e-05
C12,-1.6933653943862482e-05
V127,-1.6933653943862482e-05
V156,-1.6933653943884685e-05
id_19_fe1,-1.6933653943884685e-05
R23,-1.8627019338235406e-05
R10,-1.8627019338257612e-05
V245,-2.2013750127025668e-05
V266,-2.540048091579372e-05
V82,-2.8787211704561776e-05
V242,-3.3867307887724965e-05
proc_id_31_0_fe2,-3.5560673282097885e-05
V187,-4.5720865648402056e-05
C7,-4.7414231042774976e-05
V243,-4.741423104279718e-05
V244,-6.096115419789161e-05
