feature,Importance
max_day_diff,4212.986346356338
TransactionAmt_std_mean2_day,4176.568348018918
C6_group_3_month,4166.933423821814
C13_group_1_2_month,4150.022398362342
V69,4137.854612429172
D4,4115.045692983083
TransactionAmt_std_mean_dayofweek,4104.461497287688
addr1_nunique_dayofweek,4100.098606611486
C6_group_1_dayofweek,4098.306256358652
V295,4097.108436579583
C13,4073.0314834206947
C9,4061.5858504772186
C1_group_2_month,4036.614945981899
V314,4025.0435325354338
C10_div_C14,4010.1578266690485
C13_group_1_dayofweek,3993.1711393526775
C12_div_C14,3973.1102400486707
C1_group_1_2_dayofweek,3972.9288027826697
C1_group_2_full,3972.784364764986
C11_group_2_month,3964.7188341028523
R_emaildomain_count2_month,3961.545082807541
C2_group_2_2_month,3951.528673708497
D2_group_1_2_full,3898.284415513277
TransactionAmt_count_month,3873.3485887795687
C9_group_3_full,3858.9024183750153
DeviceType,3850.9916223734617
device_name_nunique2_full,3848.912392437458
R_emaildomain_fe1,3835.102069457993
std_TrasactionAmt_month,3817.662907088932
id_19,3794.3006721812962
C12_group_1_full,3777.995445135981
TransactionAmt_to_std2_day,3764.6348983610515
C4_group_1_full,3739.1018440574408
C1_group_3_full,3733.0658304381577
TransactionAmt_to_std_dayofweek,3728.674122409371
C1_group_1_dayofweek,3719.815998468323
C1_group_3_2_month,3714.6641199852666
PCA_20,3700.807585201189
C2_group_1_2_dayofweek,3696.201642949134
id_03,3655.8659739494324
C9_group_2_full,3630.773824453354
V45,3619.8459148406982
diff_TransactionAmt_dayofweek,3611.681741491324
D10,3592.2574229240417
TransactionAmt_to_std_day,3579.297005224078
C13_div_C5,3565.3826219070024
V149,3549.2337853792123
TransactionAmt_to_std2_full,3524.8299736217687
D2_group_2_month,3509.5401802426204
V91,3501.5133511067615
C9_group_1_dayofweek,3499.606952548027
C13_group_1_day,3493.569664555893
diff_TransactionAmt_day,3488.85769381918
C13_group_3_month,3475.85980284214
V44,3475.8588153123856
V307,3468.188417410478
C1_group_2_2_day,3464.786262597423
shift_TransactionAmt_month,3458.4249186061206
C13_group_2_full,3447.854548335308
C1_group_1_day,3446.582819342613
device_name_nunique_full,3443.1524941921234
C2_group_1_day,3434.4369094139656
V320,3425.034365267409
id_06,3409.8392540104687
C9_group_3_month,3405.615416288376
dayofweek_mode2,3401.47333458066
C11_group_1_2_dayofweek,3363.797283096843
C14_group_1_2_day,3361.586712498134
C13_group_2_2_full,3357.633216557093
diff_TransactionAmt_month,3353.089884208051
C6_group_1_2_dayofweek,3347.7922714948654
shift_TransactionAmt2_dayofweek,3345.79762218634
C12_group_2_2_full,3335.0570166391717
card1,3334.666585404426
C4_group_2_2_month,3332.7760211843997
shift_TransactionAmt_day,3322.2569702863693
diff_TransactionAmt2_day,3290.363697276829
D2_group_1_dayofweek,3281.584155044933
C2_group_3_month,3281.175915832723
D2_group_2_2_month,3281.1067688203693
C14_group_2_full,3277.0692484378815
C13_group_2_month,3270.9492975525864
C14_group_3_2_month,3265.9004634703138
C6_group_3_2_full,3251.3593584050886
dist1_nunique2_full,3239.587259411812
D10_group_1_month,3237.770696977612
C13_group_2_2_month,3232.9663263458087
PCA_nullV_2,3219.1715806871653
C11_group_1_2_day,3211.9369743819843
std_TrasactionAmt2_month,3191.4307378755184
C1_div_C5,3189.5733352308744
C14_group_3_month,3185.503436923518
C6_group_2_full,3177.4892388880253
D1_group_1_month,3176.957979211332
D10_group_1_full,3156.64897274971
n_unique_TransactionAmt_month,3149.0755472336314
C7_group_1_dayofweek,3139.9485583531787
C2_group_1_2_day,3123.696359169844
V311,3113.604364991188
C12_group_2_2_day,3111.4283703565598
D2_group_1_month,3105.416806131245
C2_group_2_2_full,3105.2336601167917
addr1_nunique_day,3104.396488465363
std_TrasactionAmt_day,3085.096112770254
C1_group_1_2_day,3076.556052811444
C13_group_2_2_day,3075.30061304789
C11_group_2_full,3073.8775490160915
proc_id_31_0,3060.1554500311613
std_TrasactionAmt2_day,3054.9001929546084
D15_group_1_2_full,3049.0502882003784
V198,3029.247481939339
std_TrasactionAmt_full,3012.7578909397125
C11_group_3_month,3000.671565975059
C6_group_3_full,2990.9628336688165
addr1_nunique2_dayofweek,2984.1414402723312
card4,2984.129881978035
V187,2983.9480790978705
C11_group_1_day,2980.206379205454
C11_group_1_dayofweek,2976.291984185955
std_TrasactionAmt2_full,2975.259312203122
