feature,Importance
R1,0.0015883767399329286
C1,0.00039455413689168937
C13,0.0003742337521590366
C14,0.0003657669251871276
TransactionAmt,0.00019304365495986797
D1,0.00018457682798795895
N5,0.0001761100010160277
R12,0.00016256307786095548
card2,0.00015917634707216522
C2,0.00015578961628339715
card6_fe2,0.00014901615470588325
N6,0.00014732278931148813
N3,0.00014393605852272006
D2,0.00014224269312832494
N1,0.00013716259694516176
card2_fe1,0.00013208250076204297
card1,0.00013208250076204297
N2,0.00013038913536767005
addr1_fe1,0.00012361567379013395
card6_fe1,0.00012361567379008952
addr2_fe1,0.0001219223083957166
card2_fe2,0.00011853557760692635
C10,0.00011684221221257563
V310,0.00011684221221255341
card6,0.00011176211602941244
V258,0.00011006875063503951
V280,0.00011006875063503951
R3,0.00010668201984624926
V45,0.00010160192366306386
id_17_fe1,9.82151928742958e-05
V294,9.482846208554995e-05
R4,9.313509669117703e-05
id_17,8.974836590238677e-05
V283,8.974836590236457e-05
card1_fe1,8.805500050799165e-05
R20,8.636163511359652e-05
M4_fe1,8.4668269719268e-05
id_31_fe1,8.466826971922358e-05
V279,8.128153893047774e-05
V54,8.128153893047774e-05
C12,7.958817353608261e-05
V70,7.789480814170968e-05
C11,7.620144274731456e-05
id_31,7.620144274731456e-05
C8,7.450807735291942e-05
V56,7.450807735291942e-05
V189,7.281471195852429e-05
addr1,7.281471195852429e-05
R2,7.112134656417357e-05
addr2,7.112134656417357e-05
card3,6.942798116980065e-05
R11,6.942798116980065e-05
card5_fe1,6.942798116977844e-05
V201,6.942798116977844e-05
V91,6.942798116977844e-05
V30,6.942798116977844e-05
R19,6.942798116977844e-05
addr1_fe2,6.942798116975624e-05
id_19_fe1,6.77346157753833e-05
card1_fe2,6.77346157753833e-05
C5,6.604125038101039e-05
R8,6.604125038101039e-05
R25,6.604125038101039e-05
V44,6.434788498661525e-05
V308,6.265451959224233e-05
V187,6.265451959224233e-05
M4,6.265451959222012e-05
R21,6.09611541978472e-05
card5_fe2,6.09611541978472e-05
M5_fe2,6.09611541978472e-05
R5,5.9267788803474274e-05
V307,5.757442340910135e-05
id_01,5.757442340910135e-05
V285,5.757442340907915e-05
V317,5.757442340907915e-05
R9,5.757442340905694e-05
C6,5.588105801472843e-05
card3_fe1,5.588105801470622e-05
V186,5.588105801470622e-05
M5,5.588105801470622e-05
id_31_fe2,5.5881058014684015e-05
V188,5.5881058014684015e-05
V90,5.418769262031109e-05
