feature,importance
R1,377514.7954454529
V258,212999.74583001804
V257,93634.9790901143
N3,78360.73391322492
V294,71469.57207869129
R29,66807.97905295406
R4,65705.0022699752
TransactionAmt,57894.502839239765
V201,56233.524995005595
R50,51395.703869217876
R51,49814.99484064021
R65,49036.7333130445
N6,47361.610115363634
R12,46094.94300925758
R64,44512.44767684456
N5,43523.428945871
R60,42641.847250694576
card2,42512.08778786412
R37,42416.916842276936
V317,42281.398295230254
N1,41667.10737740282
R11,41477.773080643005
R3,41166.428041497784
card1,39660.05326327427
N2,39192.000638793026
R46,38438.59179319819
R9,37589.2884837896
R62,37422.40342688811
R1_2,36582.5499300944
R70,36001.18494516996
R1_4,35989.15540629778
R66,34856.28560239458
addr1,34312.39310996687
V246,33325.517619662234
R32,32689.73617813486
R56,32076.56063306228
R34,31309.058204659228
R5,31199.103909433357
V_group_5,30986.819661757527
N4,30884.878662967672
R19,30842.6690725108
R48,30519.07618207679
V308,29974.849978392325
R13,29640.321059338803
R2,29548.111915064677
R17,29329.38129839232
V283,29274.14206459943
dist1,29203.723022541257
V_group_4,29101.397783869867
R8,28989.036482146672
R73,28960.273535077115
R59,28578.599059104054
R36,28292.927940703197
R45,27715.063806385737
R52,27511.88266849165
R42,26963.122914125033
R38,26743.30038530038
R28,26547.73659722686
R21,25622.02122651496
card_fe1,24275.24046512068
card2_fe1,22529.80722736379
V_group_2,21479.979530861525
R20,21394.26006697009
addr1_fe1,21349.57514959708
card6,21307.680763675464
R54,21131.603515857598
id_02,20884.27686549439
card1_fe1,20741.24425392103
R57,20730.50638979652
P_emaildomain,19864.447844975846
R63,19471.32028050487
V315,18602.70997859439
R72,18515.605275354093
R18,18160.12268750798
R1_5,17814.62601332432
R49,17660.68214222915
card5,17523.862978259924
V313,17152.210188186178
R58,16816.51061698044
V_group_3,16651.073056797562
R71,16628.572487271293
V70,16297.306964431102
V187,16292.755313287189
V200,16038.634800049625
V91,15552.231705694121
V295,15442.468511507777
R69,14883.069583342747
card2_fe2,14836.393309249048
R16,14664.420269820906
R55,13987.713907556234
V243,13757.604275001107
card6_fe1,13296.50724633969
R41,13206.299270594627
addr1_fe2,13190.157533588446
card_fe2,13111.048143399792
R47,13071.65478228127
V281,12930.133443661038
V310,12862.853244698947
V312,12798.308371785972
P_emaildomain_0,12736.410737897502
R68,12704.460953162192
TransactionAmt_decimal,12611.954772808678
R27,12168.553145475427
DeviceInfo,12158.702581147954
R22,12090.00041432408
V62,11810.672598269353
M5,11753.962499107938
V307,11657.496931690112
R40,11471.76906488326
id_20,11416.399428064495
V156,10934.681756637257
id_31,10879.405791961388
addr,10765.601112267319
R35,10595.25128173026
R15,10568.04577093085
card3,10479.721687391544
R_emaildomain,10295.45777371039
id_05,10265.965952095567
V74,10188.169664764155
V87,10168.807998994442
V45,10150.075094295646
M4,10123.039157329134
card1_fe2,10014.66022448258
V_group_10,9866.531761497426
V189,9805.282168159092
R61,9656.837235047966
id_06,9628.386692116268
R43,9573.138942347736
V69,9484.342834123185
R44,9450.064819989166
V314,9448.034056166307
ProductCD,9447.524039171003
V199,9389.794870356998
P_emaildomain_fe1,9216.13784665737
V318,9164.397752399707
email_10,9118.339639022508
card5_fe1,9117.637401400088
id_01,9049.214815793495
R33,9000.19181444548
V149,8748.256313783151
V_group_1,8277.606521061693
V282,8247.494536571156
id_19,7987.357267410283
R14,7906.263416730822
V67,7690.124235153006
V90,7453.171963646378
V280,7434.0854238633965
V102,7295.66357916831
V83,7281.102523619638
card4,7216.466709474984
M6,7213.680934947371
V53,7176.707187986828
V44,7136.606339259946
V61,6824.452907215251
M4_fe1,6792.134490326788
card6_fe2,6789.467794289968
P_emaildomain_fe2,6693.056130265525
addr2_fe1,6642.623084301749
P_emaildomain_0_fe1,6637.974191246791
R25,6609.074620654696
R_emaildomain_0,6589.814301114868
V82,6440.858714669498
ProductCD_fe1,6360.943026564372
V188,6309.318078451502
id_20_fe1,6286.971622546787
R10,6270.520768774534
id_31_fe1,6017.848529613967
V320,6006.530450578497
addr2,5969.963699862648
V309,5937.785733872805
id_30,5885.392338946777
V323,5857.52761701867
R30,5753.074476198881
card5_fe2,5739.304114316685
card3_fe1,5734.076929685623
card_11,5715.729122233391
V76,5684.359257515892
R23,5683.474541747324
V131,5653.779920929609
V36,5558.579992177076
device_version,5558.429076922075
id_03,5514.955002272521
V34,5472.393760248159
M5_fe1,5462.336175545348
V94,5352.689579584326
card_15,5337.279824109876
card_10,5313.277787382273
id_33,5253.391261529168
M3,5250.065717658725
V54,5241.452955474702
card_12,5220.63733802957
V29,5211.592677120095
id_09,5209.920797026475
V_group_9,5199.736432388614
V130,5175.267917235801
card_13,5171.892002942275
V165,5102.430527463862
V48,5078.497407061753
V296,5039.608222148963
V285,4992.729911462285
V232,4939.6198699150855
V20,4827.149251185906
id_17,4792.521284404978
M4_fe2,4738.442492854044
M6_fe1,4685.2181610963935
V86,4677.4124508546365
R26,4651.993207688993
card_8,4565.188254217077
R_emaildomain_fe1,4549.657577196786
card_9,4490.69757722419
card4_fe1,4488.430336422971
card_14,4449.06742931526
email_8,4409.360482841729
V75,4335.095573310781
V49,4263.288133360504
V133,4255.876881836967
card_7,4242.427567021029
V78,4185.714233401851
V143,4170.705174266048
V225,4071.651045246172
email_9,4057.855285337635
V127,4055.9404035815332
id_14,4028.962019486581
id_19_fe1,3995.098104987693
V291,3878.749468648909
V13,3849.1738692621593
V261,3845.8716280155236
device_name,3813.996156737787
proc_id_31_0_fe1,3772.562105127464
V12,3761.7441031725634
V38,3710.7646025749577
M5_fe2,3597.879109545386
proc_id_30_1_1,3575.335634606779
id_13,3529.1029037347575
id_20_fe2,3475.26269801674
V136,3467.1532843446766
V266,3445.5015080334524
V35,3438.6751224436134
card3_fe2,3430.18007392891
V129,3379.6883518961404
V19,3320.6696293843893
V274,3273.514701697023
V322,3256.5831976249383
P_emaildomain_0_fe2,3253.8927261270583
V262,3245.7482788375996
V152,3231.465517097592
V154,3156.389672385713
V56,3132.9740454100634
V210,3112.8054000531024
M6_fe2,3111.1418834573215
card4_fe2,3069.9623307571474
V79,3030.636436629381
DeviceType_2,3017.1266082682505
V267,2999.647979784679
V134,2993.1264457514826
V55,2969.1475812049966
id_31_fe2,2935.0735894920977
V30,2931.1188089317125
R24,2922.4416339258823
V306,2915.053844465645
V_group_6,2886.1533151912545
card_6,2873.5512847390396
V268,2869.45262926454
M2,2834.9077521115646
V279,2832.5817389901094
V207,2806.2097941197085
V47,2805.96859188727
V223,2794.2828792091423
V289,2779.425317258075
V208,2760.558662097967
V128,2693.0873357144283
V66,2686.1991668250816
R39,2685.7746383608974
M9,2635.753368935237
id_33_fe1,2626.3091918846144
V311,2620.1552343992626
R_emaildomain_0_fe1,2604.9253346249798
V298,2573.6099439703394
hour_1,2570.62931531589
V5,2565.1516542866984
V209,2546.568094402872
V219,2536.39199405059
email_7,2530.262764103456
V162,2512.6680427251767
id_19_fe2,2506.9400886449957
V33,2501.881601728048
V_group_11,2487.0489853121153
device_version_fe1,2420.8682213561747
V170,2415.143451191543
P_emaildomain_1,2413.4085095425085
hour_2,2399.5115127730487
V52,2397.815051289369
ProductCD_fe2,2391.761425051673
R53,2375.5005223949747
id_30_fe1,2360.0363982821314
V58,2335.881927365007
V37,2318.344722602348
M3_fe1,2292.7761423389115
V203,2256.1542656069287
V40,2239.641299535372
M_8,2226.321148057701
dayofweek_1,2223.147331738581
id_14_fe1,2203.426221818628
V77,2190.5090870587746
V81,2170.427997319718
V244,2128.820409466236
V264,2127.1897664785283
V245,2104.6217084635246
V205,2067.282523257745
proc_id_30_0_fe1,2063.878352553104
dayofweek_2,2051.5446400055316
V287,2048.050960743156
V99,2037.518002219006
V139,2029.9177654533148
id_18,2024.7609489089846
V277,2024.6201838265629
V324,2003.777993733844
proc_id_31_0_fe2,2002.5927061723337
M2_fe1,1986.1922391500946
dayofweek_3,1985.4944285734007
email_6,1983.2381127650538
V160,1912.664090486564
V96,1911.3847264485787
hour_3,1902.682550890809
R6,1901.2815937859318
id_13_fe1,1901.0650791383039
M8,1891.5344007295614
V169,1889.678268797521
V271,1889.5784049468352
V26,1879.5885330903209
card_5,1879.4757100858915
V332,1870.789521419968
V198,1869.0540103312871
V64,1867.4753199033437
V222,1867.2157508065793
id_17_fe1,1866.2916269913803
DeviceInfo_fe1,1850.8268455739383
M_10,1850.143100227319
V251,1843.55127363652
M7,1841.68639566501
M_6,1838.383511193968
V256,1826.2238450665027
V4,1814.5925862802856
device_name_fe1,1813.9410685393957
V171,1800.487823175846
V24,1796.358889959675
R_emaildomain_fe2,1795.1439594113667
id_04,1763.5991934766037
hour_4,1759.3769722980553
DeviceType_fe1,1744.3527447500608
V126,1731.5802608469905
V270,1730.1474638124512
V321,1729.207016552488
V_group_7,1719.9851406203622
V224,1696.3122940974595
V217,1692.1620877586633
id_17_fe2,1691.223299129187
id_15,1683.2594599226798
P_emaildomain_1_fe1,1680.719659115488
V215,1669.730990145939
email_5,1669.6454399034747
V164,1650.4848422436287
M_9,1639.949858565427
hour_5,1637.860846369169
V158,1625.7074358280709
M_5,1619.990431020657
id_11,1599.285043835572
R1_3,1588.5463598699478
V265,1587.4772102891577
V221,1560.0339859052108
V155,1536.04432547139
V150,1517.2666767634198
V333,1506.359520582633
V259,1505.4165322070864
V212,1502.7691437376743
V216,1502.7332045587395
V23,1488.7297679135604
V72,1484.6939326723414
V288,1475.8102624960209
V43,1455.594151382645
M3_fe2,1450.9761718418447
R_emaildomain_0_fe2,1449.0164084665073
addr2_fe2,1443.9186227520306
M_7,1439.9121555835009
V124,1427.7277713492513
V159,1403.693991131948
V213,1383.7576833859277
V25,1378.3809624063545
V_group_8,1367.4266322200308
